link_id,status,submitted_by,source_url,platform,date_range_hint,notes,priority,crawl_status,needs_manual_input,reviewed,last_updated
,new,Mati,https://www.booking.com/hotel/es/centrico-en-altea-con-garaje.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Altea; Casa Anna; 1089.00 EUR; 8.9/71; garage/AC/pets; budget edge",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/altea-art-apartments.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Altea; ALTEA Art apartments; 1086.89 EUR; 8.7/113; family room/pets; budget edge/risk",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamento-cap-negret-altea.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Altea; Apartamento Cap Negret; 1014.44 EUR; 8.4/18; AC/free parking; close to Cap Negret",high,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/altea-cap-negret-by-kalmarent.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Altea; Altea Cap Negret by KalmaRent; 1158.00 EUR; 8.8/41; beachfront/AC; waterpark listed; budget edge",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartment-mirador-de-altea-by-interhome.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Altea; Apartment Mirador de Altea by Interhome; 733.40 EUR; 8.0/10; already known but recheck new dates",high,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamento-altea-blanca.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Altea; Apartamento Altea Blanca; 1132.80 EUR; 8.9/75; rooftop pool/jacuzzi; budget edge",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/mar-apartment-altea1.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Altea; Mar Apartment; 1132.60 EUR; 7.5/23; waterpark listed; likely risk",low,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/taj-house-center-c.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Altea; TAJ house center Altea #C; 1008.58 EUR; 7.7/3; terrace/AC; budget edge",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/holiday-home-mirador-benitachell.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benitachell; Holiday Home Mirador by Interhome; 863.55 EUR; 8.8/7; AC/pool/garden; crawl high",high,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamento-jardines-montecala-pg004.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benitachell; Apartamento Jardines PG004; 1248.80 EUR; 8.8/6; AC/pool/free parking; above budget",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamento-paz-vf012.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benitachell; Apartamento Paz VF012; 1248.72 EUR; 8.6/6; pool/AC/free parking; above budget",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/margarida-holiday-bungalow-in-peaceful-surroundings-in-benitachell.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benitachell; Margarida holiday bungalow; 989.28 EUR; 8.2/7; peaceful; already known but recheck new dates",high,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamentos-flamingo-hills-entre-javea-y-moraira.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benitachell; Apartamentos Flamingo Hills; 972.00 EUR; 8.9/615; family rooms/pool; strong but risk",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/ojeda-fantastic.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benitachell; Bungalow Ojeda PlusHolidays; 912.12 EUR; 8.8/5; pool/terrace/free parking; crawl high",high,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/la-venta-casa-rural.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benitachell; La Venta Casa Rural; 1030.08 EUR; family/kids pool/shared kitchen flags; likely risk",low,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/zonnig-appartement-met-zwembad.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benitachell; Zonnig appartement met zwembad; 808.64 EUR; 9.4/14; pool/terrace/free parking; crawl high",high,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamento-artemisa-plusholidays.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benitachell; Apartamento Artemisa Plusholidays; 797.78 EUR; 8.0/1; pool/terrace/free parking; weak reviews",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/elegant-apartment-in-moraira-residence-calamora.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Moraira; Elegant Apartment Residence Calamora; 1200.00 EUR; 8.8/5; beach/pool but family/kids flags; budget high",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartment-pueblo-de-la-paz-by-interhome-moraira.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Moraira/Cumbre; Apartment Pueblo de la Paz by Interhome; 1015.55 EUR; 8.0/1; Cumbre location; weak reviews",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/la-mediterranea-moraira.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Moraira; La Mediterranea; 1205.28 EUR; 8.8/15; beach/AC; budget high",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/casa-el-olivo-moraira.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Moraira; Casa El Olivo; 1200.00 EUR; 9.5/4; pool/garden but family/kids pool; budget high",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/aparto-albi.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Moraira; Aparto Almi; 1252.00 EUR; 9.5/4; AC/no obvious kids; budget high",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartment-sunset-moraira-city.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Moraira; Apartment Sunset Moraira City; 1039.25 EUR; 7.1/10; private beach/pool/free parking; family/pets",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/la-trufa.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Moraira; La Trufa; 1280.00 EUR; 10/1; sea views/pool/garden; weak reviews/budget high",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/meu-lar-moraira.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Moraira; Villas Guzman Meu Lar; 1258.00 EUR; 8.2/15; pool/free parking; budget high",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/toscamar-apartment-moraira-centre.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Moraira; Toscamar Apartment; 1235.59 EUR; 7.0/2; playground/kids pool; likely no-go",low,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamento-villa-joya.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benissa Costa; Apartamento Villa Joya; 963.00 EUR; 8.8/40; pool/free parking/AC; crawl high",high,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/casa-marron-boutique-home.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benissa; Casa Marron Boutique Home; 1225.80 EUR; 8.5/33; inland/AC; budget high",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/sant-pere-ii-benissa.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benissa; Apartamento Sant Pere II; 1126.00 EUR; 9.7/22; inland/parking/AC; budget edge",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/casa-tosca.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Benissa; Casa Tosca; 1177.50 EUR; 9.2/5; inland/free parking/AC; budget high",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/appartement-rosal-calpe-beach.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Calpe; Appartement Rosal Calpe Beach; 931.00 EUR; 8.5/12; pool/free parking/AC; crawl high but Calpe risk",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/casa-roucelle.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Calpe; Casa Italia; 950.00 EUR; 9.2/47; beachfront/pool/AC; crawl high but Calpe beach density risk",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/ambar-beach-calpe.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Calpe; ROCASOL Beach; 912.00 EUR; 8.7/253; pool/terrace; Fossa/Calpe density risk",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamento-mar-y-paz.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Calpe; Apartamento Mar y Paz; 1152.35 EUR; 9.4/31; adults only/beachfront; budget high but interesting",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/plazamayor.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Calpe; PLAZAMAYOR; 1103.00 EUR; 9.2/210; central/AC; budget high/city risk",low,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/zeus.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Calpe; Apartamento Zeus PlusHolidays; 783.00 EUR; 7.7/18; pool/free parking/terrace; crawl medium",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamentos-retiro-park-ii.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Calpe; Galetamar; 1080.58 EUR; 8.2/2164; family/game room; likely no-go",low,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartment-esmeralda.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Calpe; Apartment Esmeralda 02 by Interhome; 1031.70 EUR; 9.1/17; beachfront/pool/AC; Calpe density risk",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/holiday-home-residencial-casanova-by-interhome.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Calpe; Holiday Home Residencial Casanova; 897.75 EUR; 10/1; already known; weak review count",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamentos-pueblo-mar.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Calpe; Hotel Apartamentos Pueblo Mar; 1024.65 EUR; 8.1/271; family rooms; likely risk",low,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/casa-estrella-denia.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Denia; Casa Estrella y Casa Carmen; 938.60 EUR; 9.5/211; family/brettspiele flag but strong price",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamento-sant-josep-by-el-conserje.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Denia; Apartamento centro de Denia con parking; 735.00 EUR; 9.1/23; family room but good price",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartemento-monika-monte-pedrera-c-4.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Denia; Apartemento Monika Monte Pedrera; 760.00 EUR; 8.4/9; pool/terrace/free parking; crawl high",high,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/diana-16.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Denia; Diana 16; 860.00 EUR; 8.0/18; family room; city risk",low,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/apartamentos-retiro-park-ii.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Denia; Retiro Park II Serviden; 776.00 EUR; 7.6/233; family rooms; likely risk",low,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/atico-puerto.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Denia; Atico Puerto; 506.40 EUR; 7.5/34; beachfront/terrace; family room but cheap",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/casa-olivera.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Denia; Casa Olivera; 1117.60 EUR; 8.6/436; family room; budget high",low,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/mimare-denia.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Denia; MIMARE Denia; 1074.19 EUR; 9.0/65; AC/soundproof; budget edge",medium,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Villajoyosa--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Villajoyosa; 2 adults; Codex should extract room links and enqueue only exact /rooms/ URLs",high,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Altea--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Altea; 2 adults; extract /rooms/ URLs",high,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Benitachell--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Benitachell/Cumbre; 2 adults; extract /rooms/ URLs",high,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Cumbre-del-Sol--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Cumbre del Sol; 2 adults; extract /rooms/ URLs",high,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Moraira--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Moraira; 2 adults; extract /rooms/ URLs",high,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Benissa--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Benissa; 2 adults; extract /rooms/ URLs",medium,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Benissa-Costa--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Benissa Costa; 2 adults; extract /rooms/ URLs",high,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Calpe--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Calpe; 2 adults; broad but higher crowd risk",medium,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Denia--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Denia; 2 adults; broad but further north",medium,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Javea--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Javea; avoid Arenal and family resorts",medium,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/El-Portet--Moraira--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; El Portet/Moraira; likely scenic but price risk",medium,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Cala-Moraig--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Cala Moraig/Cumbre; very relevant for cove profile",high,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/Cala-Baladrar--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; Cala Baladrar/Benissa Costa; relevant cove profile",high,,true,false,2026-07-02
,new,Mati,https://www.airbnb.de/s/La-Solsida--Altea--Spain/homes?checkin=2026-09-08&checkout=2026-09-16&adults=2&children=0&infants=0&pets=0,airbnb,2026-09-08 to 2026-09-16,"Airbnb search seed; La Solsida/Altea; matches reference beach style",high,,true,false,2026-07-02
